word,llm_emoji,fit,cldr_emojis,agree
a,🔤,1,😘;🅰️;💠,false
abacus,🧮,3,🧮,true
absorbing,🧽,2,🧽,true
acceptable,✅️,2,🉑,false
access,🔓️,2,♿️,false
accessibility,♿️,2,🦾;🦿;🦻;🧏;🦮;🦽;🦼;🦯;🛗,false
accident,💥,3,🫗,false
accordion,🪗,3,🪗,true
accounting,🧾,2,🧾,true
act,🎭️,2,🤹,false
action,🎬️,2,🎬️,true
active,🏃,2,🤸,false
actor,🎭️,3,🎭️,true
actress,🎭️,3,🎭️,true
address,🏠️,2,📢,false
adhesive,🩹,3,🩹,true
admiration,😍,2,🥹,false
admission,🎫,2,🎟️;🎫,true
adorable,🥰,2,🩷,false
adore,😍,3,🥰,false
adult,🧑,3,🧑;👨;👩;🧓;👴;👵,true
aerial,📡,2,🚡,false
aeroplane,✈️,3,✈️;🛩️;🛫;🛬,true
afraid,😨,3,😨,true
again,🔁,2,🤦;🔄,false
age,🎂,2,🔞,false
agree,🤝,3,💯;👊,false
agreement,🤝,3,🤝,true
aid,🆘,2,🦻;⛑️;🩼,false
air,💨,3,🪟,false
alarm,🚨,3,🚨;⏰️,true
alcohol,🍺,3,🍷;🍸️;🍹;🍺;🍻,true
ale,🍺,3,🍺,true
alert,🚨,2,🚨,true
alien,👽️,3,👽️;👾,true
almond,🌰,3,🌰,true
alpaca,🦙,3,🦙,true
alpha,🅰️,2,🦁,false
alphabet,🔤,3,🔤,true
alternation,🔀,1,〽️,false
amazement,😲,2,🫢,false
amble,🚶,2,🚶,true
ambulance,🚑️,3,🚑️,true
amoeba,🦠,3,🦠,true
amount,🔢,2,🤏;🈷️,false
amulet,🧿,3,🧿;🪬,true
amusement,🎡,2,🛝;🎡;🎢,true
anatomical,🦴,2,🫀,false
anchor,⚓️,3,⚓️;🔱,true
and,➕️,1,🫢;☠️;🫰;👫;🍽️;🍴;⛈️;⚒️;🛠️;🏹;🔩;🛋️;☪️,false
angel,👼,3,😇;👼,true
angelic,👼,2,😇;🪽,false
anger,😠,3,😤;😡;😠;💢;🗯️,true
angle,📐,2,📏;📐,true
angry,😠,3,😤;😡;😠;👿;👺;💢;🗯️,true
animal,🐾,3,😺;😸;😹;😻;😼;😽;🙀;😿;😾;🙉;🙊;🐵;🐒;🦍;🦧;🐶;🐕️;🦮;🐩;🐺;🦊;🦝;🐱;🐈️;🦁;🐯;🐅;🐆;🐴;🫎;🫏;🐎;🦓;🦌;🦬;🐮;🐂;🐃;🐄;🐷;🐖;🐗;🐽;🐏;🐑;🐐;🐪;🐫;🦙;🦒;🐘;🦣;🦏;🦛;🐭;🐁;🐀;🐹;🐰;🐇;🐿️;🦫;🦔;🦇;🐻;🐨;🐼;🦦;🦨;🦘;🦡;🐔;🐓;🐣;🐤;🐥;🐦️;🐧;🦅;🦆;🦢;🦉;🦤;🦩;🦚;🦜;🪿;🐸;🐊;🐢;🦎;🐍;🐲;🐉;🐳;🐋;🐬;🦭;🐟️;🐠;🐡;🦈;🐙;🐚;🪼;🦞;🦑;🐌;🐛;🐜;🐝;🪲;🐞;🦗;🪳;🕷️;🪰;🪱,false
ankle,🦶,2,🦶,true
anniversary,🎉,2,💝;💞;💕;💏;💑;💐,false
answer,💬,2,🟰,false
ant,🐜,3,🐜,true
antenna,📡,3,📡;📶,true
anxiety,😰,3,🫪,false
anxious,😰,3,😟;😨;😰;😥;🫦,true
ape,🦍,3,🦧,false
apocalypse,☄️,2,🧟,false
apology,🙏,2,🙇,false
applause,👏,3,👏,true
apple,🍎,3,🍎;🍏;🥧,true
application,📝,2,🈸,false
appreciate,🙏,2,🙏,true
apprehend,🚔️,2,👮,false
approval,👍️,3,👏,false
aquarium,🐠,3,🪼,false
archer,🏹,3,🏹;♐️,true
archery,🏹,3,🏹,true
argument,🗣️,2,🫯,false
arm,💪,3,💪;🦾,true
army,🪖,3,🪖,true
arrest,🚔️,3,👮,false
arrival,🛬,2,🛬,true
arrow,🏹,3,💘;📲;📩;🏹;⬆️;↗️;➡️;↘️;⬇️;↙️;⬅️;↖️;↕️;↔️;↩️;↪️;⤴️;⤵️;🔃;🔄;🔙;🔚;🔛;🔜;🔝;🔀;🔁;🔂;▶️;⏩️;⏭️;⏯️;◀️;⏪️;⏮️;🔼;⏫️;🔽;⏬️,true
art,🎨,3,🎭️;🖼️;🎨,true
artist,🎨,3,🎨,true
arty,🎨,1,🎨,true
ascend,⬆️,2,🪽,false
ask,❓️,3,🙏;🙇,false
ass,🫏,2,🫏,true
assassin,🗡️,3,🥷,false
asterisk,✳️,3,✳️,true
astronomy,🔭,3,⭐️,false
at,📍,1,🫵;🌆;🌉,false
atheist,🚫,1,⚛️,false
athletic,🏃,2,⛹️;👟,false
athletics,🏅,2,🤾;🎽,false
atom,⚛️,3,⚛️,true
attraction,🎡,2,🧲,false
auto,🚗,3,🛺,false
automobile,🚗,3,🚗;🚘️;🛻,true
autumn,🍂,3,🍂;🥮,true
avalanche,🏔️,3,🛘,false
aviation,✈️,3,🪽,false
avocado,🥑,3,🥑,true
award,🏆️,3,🎖️;🏅,false
away,🚶,1,💨,false
awe,😮,2,🫢,false
awesome,😎,2,😃;😛;😎;👌;👏;🎉,true
awful,😖,2,😔;😢;😞,false
awkward,😬,3,😐️;😑;😶;😬;😳,true
ax,🪓,3,🪓,true
axe,🪓,3,🪓,true
baa,🐑,2,🐑,true
babe,👶,2,💏;💑,false
babushka,🧣,2,🪆,false
baby,👶,3,👶;🤱;👼;🐣;🐤;🐥;🍼;🚼️,true
back,⬅️,2,🥹;🤚;🚪;🔙,false
bacon,🥓,3,🐷;🐖;🥓,true
bacteria,🦠,3,🦠;🧫,true
bad,👎️,2,👎️;🦹,true
badge,🎖️,3,📛,false
badger,🦡,3,🦡,true
badminton,🏸,3,🏸,true
bag,👜,3,🧳;👜;👝;🛍️;🎒;💰️,true
bagel,🥯,3,🥯,true
baggage,🧳,3,🛄;🛅,false
bait,🪱,2,🪤,false
bakery,🥐,3,🥯;🧁,false
balance,⚖️,3,🤹;⚖️;♎️,true
bald,🦲,2,👴;🦲,true
ball,⚽️,3,🏌️;⛹️;🤾;🍙;🎊;⚽️;⚾️;🥎;🏀;🏐;🏈;🏉;🎾;🎳;🏏;🏑;🥍;🏓;🎱;🔮;🪩;🧶,true
ballet,🩰,3,🥿;🩰,true
balloon,🎈,3,💬;🗨️;🗯️;💭;🎈,true
ballot,🗳️,3,🗳️;☑️,true
bamboo,🎍,3,🐼;🎍,true
banana,🍌,3,🐵;🐒;🍌,true
band,🎸,2,🪈,false
bandage,🩹,3,🤕;🩹,true
bandana,🧕,2,🧕,true
banjo,🪕,3,🪕,true
bank,🏦,3,🏦;💰️;💴;💵;💶;💷;💸;💳️;💹;🏧;💱,true
banner,🚩,2,🎋,false
bar,🍺,2,🍫;🍶;🍾;🍷;🍸️;🍹;🍺;🍻;🏮;📊;🧼;⏸️;📶,true
barber,💈,3,💇;💈,true
bare,🚫,1,🪾,false
barf,🤮,3,🤮,true
bargain,🏷️,2,🉐,false
barrel,🛢️,3,🍯,false
barren,🏜️,2,🪾,false
barrier,🚧,3,🚧,true
basket,🧺,3,🧺,true
bat,🦇,3,🦇;🏏;🏓,true
bath,🛁,3,🛀;🛁,true
battery,🔋,3,🔋;🪫,true
beach,🏖️,3,😎;🏄️;🐳;🐋;🐬;🐚;🌴;🏖️;🌞;👙;🩴,true
beacon,🚨,2,🚨,true
bead,📿,2,🧿,false
bear,🐻,3,🐻;🐨;🍯;🧸,true
beard,🧔,3,🧔,true
bearer,🤲,1,🐍;♒️;⛎️,false
beast,🐾,2,💪,false
beat,🥁,2,🫀;🪘,false
beating,🥊,2,💓,false
beauty,💄,2,👄;💇;🪷;🌹,false
beaver,🦫,3,🦫,true
beckon,👋,2,🫴,false
bed,🛏️,3,😴;🛌;🛏️,true
bee,🐝,3,🐝,true
beer,🍺,3,🫚;🍺;🍻,true
beet,🥕,2,🫜,false
beetle,🪲,3,🪲;🐞,true
befuddled,😵,2,😕,false
beg,🙏,3,🙏;🙇,true
beginner,🔰,3,🔰,true
behind,🍑,2,⛅️;🌤️;🌥️;🌦️,false
believe,🙏,2,😮,false
bell,🔔,3,🫑;🛎️;🎐;🔔;🔕,true
belly,🤰,2,🫃;🫄,false
bench,🪑,3,💪,false
bent,➰️,2,🦵;🧢,false
berry,🫐,3,🍓;🫐,true
bet,🎰,2,👌;💰️,false
beverage,🥤,3,☕️;🍵;🍶;🍷;🧃,false
bewilder,😵,2,🤦,false
biceps,💪,3,💪,true
bicycle,🚲️,3,🚴;🚵;🚲️;🚳,true
bicyclist,🚴,3,🚴;🚵,true
big,🐘,2,😃;🥺;🐯;🐅;🐆,false
bike,🚲️,3,🚴;🚵;🚲️;🔐;🚳,true
bikini,👙,3,👙,true
bill,🧾,3,💴;💵;💶;💷;💸,false
billion,💰️,2,💰️;💷;💸;💲,true
billionaire,💰️,3,🚤,false
bin,🗑️,3,🚮,false
biologist,🔬,2,🧫;🧬,false
biology,🧬,3,🧫,false
bird,🐦️,3,🦃;🐔;🐓;🐣;🐤;🐥;🐦️;🐧;🕊️;🦅;🦆;🦢;🦉;🦤;🪶;🦩;🦚;🦜;🪽;🪿;🪺,true
birdie,🐦️,2,🏌️;🏸,false
birth,👶,3,🍼,false
bison,🦬,3,🦬,true
bisque,🍲,2,🦞,false
bit,🔢,1,🤏,false
bite,🍴,2,🫦;🦟,false
biting,🦷,2,🫦,false
black,⬛️,3,🖤;✒️;⚫️;⬛️;◼️;◾️;▪️;🔲;🏴,true
blame,👉️,2,😨;😞;😠,false
blank,⬜️,2,😐️;😶,false
bleed,🩸,3,🩸,true
bless,🙏,2,⛪️,false
blessed,🙏,2,😇;🙏,true
blind,🦯,2,🦮;🦯,true
bloated,🎈,2,🫪;🫃;🫄,false
block,🧱,3,🫷;🫸,false
blond,👱,2,👱,true
blood,🩸,3,🧛;🩸;🅰️;🆎;🅱️;🅾️,true
bloom,🌸,3,🪻,false
blossom,🌸,3,🌸;🌼;🌷,true
blouse,👚,3,👚,true
blow,💨,2,🍃;🌬️,false
blown,💨,1,🤯,false
blue,🔵,3,🥶;😰;💙;🩵;🫐;👕;👖;📘;🧿;🔵;🟦;🔷;🔹,true
blush,😊,3,😊;😚,true
boar,🐗,3,🐗,true
board,🛹,2,🛹;🎬️,true
boat,🛥️,3,🚣;⛵️;🛶;🚤;⛴️;🛥️;🚢,true
body,🧍,3,💀;👂️;👃;👀;👁️;👅;👄,false
bolt,⚡️,3,🔩,false
bomb,💣️,3,💥;💣️,true
bone,🦴,3,☠️;🦴;🍖;🍗,true
boo,👻,2,👻,true
book,📖,3,📔;📕;📖;📗;📘;📙;📚️,true
boom,💥,3,💥;👊;🎆;🎇;💣️,true
boomerang,🪃,3,🪃,true
boot,👢,3,🥾;👢,true
booze,🍾,2,🍷;🍸️;🍹;🍺;🍻,false
born,👶,2,🍼,false
boss,👔,2,😏,false
bottle,🍾,3,🍼;🍶;🍾;🧴,true
boulder,🪨,3,🪨,true
bouncing,🏀,2,⛹️,false
bouquet,💐,3,💐,true
bow,🎀,2,🙏;🙇;🎁;🏹,false
bowl,🥣,3,🥣;🍜;🏈,true
bowling,🎳,3,🎳,true
box,📦️,3,🍱;🥡;🧃;🎁;🪗;📤️;📥️;📦️;🗳️;🗃️;🧰;☑️,true
boxing,🥊,3,🥊,true
boy,👦,3,👦,true
brain,🧠,3,🧠,true
brainy,🧠,2,🤓,false
branch,🌿,3,🪹;🪺,false
brass,🎺,2,🪊,false
brawl,🥊,2,🫯,false
bread,🍞,3,🍞;🥐;🥖;🫓;🥯;🥪,true
break,💔,2,💔;🔔,true
breast,🍗,1,🤱,false
breath,💨,2,🫁,false
breathe,💨,2,🫁,false
brew,☕️,2,🫖,false
brick,🧱,3,🧱,true
bridge,🌉,3,🌉,true
briefs,🩲,2,🩲,true
bright,✨️,2,😎;🧒;👦;👧;☀️;🌝;🌞;🔆,false
broccoli,🥦,3,🥦,true
broken,💔,3,💔,true
brontosaurus,🦕,3,🦕,true
bronze,🥉,3,🥉,true
broom,🧹,3,🧹,true
brown,🟤,3,🤎;👞;🥾;🟤;🟫,true
brr,🥶,2,🧥,false
brush,🖌️,3,🪥,false
bubble,🫧,3,💬;🗨️;🗯️;💭;🧋;🫧,true
bucket,🪣,3,🪣,true
buffalo,🐃,3,🦬;🐃,true
bug,🐛,3,🐛;🪲;🦗,true
build,🏗️,2,👷;📲,false
building,🏢,3,🏛️;🏗️;🏠️;🏡;🏢;🏣;🏤;🏥;🏦;🏨;🏩;🏪;🏫;🏬;🏭️;🏯;🏰;🌆;🌇,true
bulb,💡,3,💡,true
bull,🐂,3,🐂;🎯;♉️,true
bullet,🔫,2,🚅,false
bump,💥,2,👊,false
bundle,📦️,2,🧣;🧥,false
bunny,🐰,3,👯;🐰;🐇,true
buoy,🛟,3,🛟,true
burger,🍔,3,🍔,true
burn,🔥,3,🪼;🔥,true
burp,😮,2,🫧,false
burrito,🌯,3,🌯,true
burro,🫏,2,🫏,true
bury,⚰️,2,🪏,false
bus,🚌,3,🚋;🚌;🚍️;🚎;🚐;🚏,true
business,💼,3,🕴️;🈺,false
bust,👤,1,👤;👥,true
but,🔗,1,😥,false
butter,🧈,3,🧈,true
button,🔘,3,🔄;🔀;🔁;🔂;▶️;⏩️;⏭️;⏯️;◀️;⏪️;⏮️;🔼;⏫️;🔽;⏬️;⏸️;⏹️;⏺️;⏏️;🔅;🔆;✅️;❎️;🅰️;🆎;🅱️;🆑;🆒;🆓;🆔;🆕;🆖;🅾️;🆗;🅿️;🆘;🆙;🆚;🈁;🈂️;🈷️;🈶;🈯️;🉐;🈹;🈚️;🈲;🉑;🈸;🈴;🈳;㊗️;㊙️;🈺;🈵;🔘;🔳;🔲,true
bye,👋,2,👋,true
cab,🚕,3,🚕;🚖,true
cabbage,🥬,3,🥬;🥦,true
cabbie,🚕,2,🚕;🚖,true
cabinet,🗄️,3,🗄️,true
cable,🔌,2,🚠;🚡,false
caboose,🚃,2,🚂,false
cactus,🌵,3,🌵,true
caddy,⛳️,1,🏌️,false
cafe,☕️,3,☕️,true
caffeine,☕️,2,☕️,true
cake,🎂,3,🍥;🥮;🎂;🍰,true
calculation,🧮,2,🧮,true
calculator,🧮,3,🧮,true
calendar,📅,3,📅;📆;🗓️,true
call,📞,3,😥;🤙;📲,false
calm,😌,3,😌;🪷,true
camcorder,📹️,3,📹️,true
camel,🐫,3,🐪;🐫,true
camera,📷️,3,🤳;🎥;📷️;📸;📹️;🎦,true
can,🥫,3,🥫;🗑️,true
cancel,❌️,2,✖️;❌️,true
cancer,🦀,2,🦀;♋️,true
candelabrum,🕯️,2,🕎,false
candle,🕯️,3,🕯️,true
candy,🍬,3,🍫;🍬;🍭;🪅,true
cane,🦯,2,🦯;🩼,true
canned,🥫,1,🥫,true
canoe,🛶,3,🚣;🛶,true
cantaloupe,🍈,3,🍈,true
cap,🧢,3,👲;🎓️;🧢,true
car,🚗,3,🚃;🚞;🚋;🚓;🚔️;🚕;🚗;🚘️;🚙;🛻;🚚;🚛;🏎️;🛞;🚨;🚡,true
card,🃏,3,♠️;♥️;♦️;♣️;🃏;🎴;💳️;🗂️;📇;🗃️;🪧;🪪;🟥;🟨,true
cardiac,❤️,2,💛,false
cardinal,🐦️,2,⬆️;➡️;⬇️;⬅️,false
cardiology,❤️,1,🫀,false
care,❤️,2,💅,false
carousel,🎠,3,🎠,true
carp,🐟️,2,🎏,false
carpenter,🔨,3,🪚,false
carpentry,🔨,2,🪚,false
carrot,🥕,3,🥕,true
cart,🛒,3,🛒,true
cartoon,📺️,2,💭,false
case,💼,1,🛄;🛅,false
cash,💵,3,💰️;💷;💸;💳️;🏧;💲,false
casino,🎰,3,🎰,true
cask,🛢️,2,🪣,false
casserole,🍲,2,🥘,false
castle,🏰,3,🏯;🏰,true
casual,👕,1,👕;👖,true
cat,🐱,3,😺;😸;😹;😻;😼;😽;🙀;😿;😾;🐱;🐈️;🐯;🐅;🐆,true
catch,🧤,2,🫴;🤾;🪝,false
caught,🎣,1,😦,false
caution,⚠️,3,⚠️,true
celebrate,🎉,3,🥳;🥂;🎈;🎉;🎊;🪅,true
